사용자,평점,댓글 내용,감정
샌드,2.5,"처음 이 영화를 봤을 땐 신선한 기획이다란 생각이 있었는데 다른 영화에서 이미 했었다는 말을 듣고 사실 김이 좀 샜습니다. 어쨌거나 이 영화는 너무나도 익숙한 배우를 납치했다는 설정 자체가 주는 독특한 인상이 있는데, 그 하나만으로 영화를 만들었다고 해도 좋을 정도로 설정에서 나오는 에피소드로 가득합니다.

이 영화의 첫 시작부터 완성하는 끝까지에 가장 유효했던 건 역시 황정민이라는 배우를 캐스팅했다는 점일 것입니다. 영화는 황정민이라는 저명한 배우의 실제 모습을 영화 속으로 끌어 와서 재미를 만들어가기도 하는데, 많은 사람이 알고 있는 배우를 적재적소에 캐스팅해 넣었다는 자체가 영화의 가장 큰 힘이 됩니다.

그러면서 등장하는 다양한 배우가 영화를 짊어지고 있는 한 배우에 기대는 게 아니라 어느 한 곳이 무너지지 않고 서로 합이 맞아가는 연기를 보여준다는 점이 이 영화에서 가장 좋은 점이였습니다. 영화를 보고 있는 동안에서부터 끝나고 나서까지 정말 좋은 배우를 정확한 곳에 위치했다는 생각만큼은 확고하게 들었습니다.

다만 영화에서 가장 아쉬운 점은, 모든 영화가 그럴 수도 있겠다만 특히나 이 영화는 설정과 깔린 판이 유독 가상으로 느껴진다는 점입니다. 당연히 실제로 납치된 것도 아니고 영화라는 걸 가정하고 영화가 만든 볼거리를 즐기면서 보면 되는데, 그만큼 팽팽한 재미가 있진 않아서 극에 완전히 몰입할 수 없었습니다.

영화의 액션이 뚜렷하게 좋은 것도 아니고, 이야기의 동력이 좋아 뒤가 궁금해지는 영화도 아니라 이 영화가 가지고 있는 가장 큰 장점이 그저 나올 것 같은 장면이 그대로 나와서 재밌긴 하구나 정도의 단발적인 소모일 뿐이라 아쉬움이 남았습니다.

그래도 최선의 선택을 해야 하는 상황에서 그를 해낸 영화가 주는 어떤 기본적인 좋은 인상이 있고, 그를 통해서 일반적으로 예상할 수 있는 재미를 착실히 밟아 나가는 점 정도는 좋게 느껴졌습니다.",중립
세훈,2,심지어! 황정민 본인이 본인을 연기해도 그간 보아왔던 모습과 다르지 않다는 점.,부정
손 건,2.5,초반 긴장감의 페이스가 갈수록 옅어진다.,중립
카이,2,황정민배우 고군분투하지만 역부족이었다.,부정
Cinefilo_wd7,2.5,"픽션과 논픽션 사이에 신인이라는 양날의 검은 생각보다 날카롭지 못했다.
.
다른 장점을 극대화하기 위해 포기한 것들이 많아보였고, 그 장점이랄만한 것들이 그런 엉성함을 가리기엔 부족하지 않았나 싶다.
.
신선하지 않은것을 신선하게끔 느껴지게하려고 노력한 듯 보인다.",중립
예린이,3,"Of 황정민, By 황정민, For 황정민",긍정
왕은혜,3,실감나는 황정민 납치극,긍정
김현승,3,"사실 우리나라 경찰은 절대 총을 못 쏘는 걸 풍자한게 아닐까?!
/
등장인물을 실제 인물로 설정한 것이 득이 되지도 실이 되지도 않는다. 유명 배우가 악역으로 나왔다면 몰입감 확 깨졌을텐데 다행.
/
이호정 진짜 이쁘다..
평소에 욕은 잘 안 하는 거 같긴 하네..",긍정
앙리,2.5,악역은 무적이다......,중립
망고무비,2,각본보다 인질 캐스팅에 신경쓴듯한.,부정
Ben,3,이 영화가 자체적으로 가지고 있는 성취랄 것이 딱히 없어서 마땅히 평가할게 없다. 그냥 배우 황정민이 대중에게 어떤 이미지였는지가 전부이다. 그리고 종국에는 우리가 이 배우를 얼마나 사랑하는지 깨닫게 된다.,긍정
윤노,1.5,"동기 없는 멍청한 납치범들과 멍청한 황정민의 두뇌싸움
각본의 허술함에 사라진 긴박감을 어지러운 카메라워킹으로 숨기려한다.

+ 그리고 개뜬금 없는 C컵 드립은 왜 넣을까.. 이런 표현을 쓰기도 싫지만 정말 여성캐릭터를 소모적으로 사용하는 대표적인 예시 ㅂㅅ같음 개ㅂㅅ같다.",부정
지혜,0.5,뭐지? 5억은 내가 받아야 되겠는데.,부정
카라멜마껴놔또,1.5,"아… 황정민배우 연기는 매우 인정!
근데 난 극비수사 스타일…
잔인한 장면이 없어도 스릴이 넘쳤던…",부정
헵번공주,3.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
BeBe,3,"심장병 때문에 오줌 지릴 때 정말 죽는줄 알았어요!!!
아... 그게 연기였구나
그럼 연기 속에서 연기를 한거네요?
황정민이 지리고 나도 지렸다 ㅋㅋㅋ",긍정
유지철,3,주연과 조연들이 잘 어우러져 차려놓은 식상하지 않은 밥상.,긍정
라우라,3,"황정민아저씨 맞느라 수고했으니 돈 많이 줘요..
돌비사운드로 때리는 소리 듣는데 개 찰진 타격감..!
+ 스토리는 게으르고 설정은 뻔한데 어라? 재미없지는 않음",긍정
동구리,2.5,"스타 영화배우 황정민(황정민)은 제작발표회를 마치고 집으로 돌아간다. 그는 귀가 중 괴한의 습격을 받고 납치된다. 인질범 일당은 리더 최기완(김재범)과 2인자 염동훈(류경수)을 비롯해 5명(정재원, 이규원, 이호정)으로 구성되어 있다. 이들은 이미 세간의 화제인 ‘카페사장 납치사건’의 범인이기도 하며, 다른 인질인 소연(이유미)를 붙잡고 있다. 이들은 황정민에게 돈을 요구하며, 돈을 주면 풀어주겠다고 말한다. 홍콩영화 <세이빙 미스터 우>를 원작으로 삼는 <인질>은 독특하게도 황정민 배우가 본인으로 출연한다. 이는 원작과의 차이점이기도 하다. 원작은 영화배우가 납치되었던 실제 사건을 모티프로 만들어졌지만 주연인 유덕화가 본인을 직접 연기하지는 않았다. <인질>은 황정민이 청룡영화상에서 처음 남우주연상을 수상했을 때의 수상소감 영상으로 시작한다. “저는 숟가락만 얹었을 뿐입니다”라고 말하는 그의 모습과 함께 <신세계>, <베테랑>, <부당거래>, <히말라야>, <국제시장> 등 그가 출연한 히트작들의 영상과 포스터가 등장한다. 때문에 <인질>은 황정민(과 함께 극중 영화에 출연한 박성웅)을 제외한 모든 배우를 관객들에게 익숙하지 않은 얼굴들로 꾸렸다. 이는 인질범뿐 아니라 황정민의 매니저나 사건을 쫓는 경찰들 또한 마찬가지다.
_
이와 같은 설정 때문에 <인질>의 리얼리티는 독특한 방식으로 구성된다. 최근 10여년 간 가장 많은 관객을 불러모은 스타가 주인공이기에 영화의 많은 부분은 황정민의 실제 모습에서 따왔다. 극중 그의 말투는 영화 속 캐릭터라기보단 그가 이번 영화의 홍보를 위해 출연한 여러 인터뷰 속 말투에 가깝기도 하다. <인질>은 이를 바탕으로 영화가 누릴 수 있는 장점들을 끌어오려 한다. 인질범 중 한 명이 황정민 배우의 팬이어서 그에게 <신세계> 속 “드루와~ 드루와~” 대사를 하도록 시킨다던가, 황정민이 자신의 상황을 알리기 위해 <베테랑>의 서도철이나 <부당거래>의 최철기처럼 자신이 연기했던 경찰 캐릭터의 이름을 말하는 등의 상황이 그러하다. 영화는 이러한 포인트들을 관객에게 친절히 설명해주는 것까지 잊지 않는다. 서도철과 최철기라는 이름을 곧바로 알아듣지 못하는 박성웅에게 황정민의 매니저는 그것이 황정민의 극중 이름임을 알려준다.
_
이러한 지점은 단순히 황정민의 기존 출연작 속 요소를 극에 끌어오는 것만으로 머무르지 않는다. <인질>은 황정민이라는 한국 영화계의 거대한 존재감을 바탕으로 최근 20년 간의 한국 상업영화를 패러디/오마주한다. 영화의 마지막을 장식하는 황정민과 최완기의 폭우 속 결투는 자연스럽게 <인정사정 볼 것 없다>의 포스터를 떠올리게 하며, 경찰이 체포된 인질범을 취조하는 장면은 수많은 한국 범죄영화와 동일한 방식으로 촬영되었다. <인질>을 보며 황정민의 출연작 뿐 아니라 <추격자>, <공공의 적>, <독전>, <악마를 보았다>, <내가 살인범이다> 등을 떠올리는 것은 극히 자연스러운 일이다. 어쩌면 <인질>은 황정민이라는 형상을 통해 한국형 누아르를 되짚어보는 기획이 될 수 있었을지도 모른다. 하지만 <인질>은 그러한 길을 가지 못한다. 영화는 배우로서 경찰, 변호사, 검사를 다 연기해보고 무술 훈련과 캐릭터 연구 등을 수행했던 황정민이 그것들을 활용해 상황을 벗어나려 한다는 것에 집중한다. 물론 이것이 나쁜 선택은 아니다.
_
문제는 황정민을 제외한 캐릭터들이 한국 범죄영화 속 싸이코패스 범죄자들의 전형을 벗어나지 못한다는 점이다. 얼굴이 잘 알려지지 않은 신인 배우들을 대거 기용하며 이들의 연기력을 선보이려 하지만, 이들에게 주어진 캐릭터는 치밀한 연기 대신 고성과 폭력, 욕설을 반복할 뿐이다. 다시 말해 이들의 모습은 앞서 언급한 한국 범죄영화 속 범죄자들의 열화된 버전이다. 하정우, 김윤석, 최민식, 조진웅, 유아인, 정재영, 김남길, 조우진, 그리고 황정민 등이 연기했던 영화 속 범죄자들은 이들의 직계 조상이며, 납치된 황정민이 묶여 있는 인질범 일당의 아지트는 김지운, 나홍진, 강우석, 류승완 등이 만들어낸 공간을 물려받는다. 황정민이 황정민을 연기한다는 개성을 내세웠지만, 아쉽게도 <인질>은 거기서 멈추고 만다. 적당히 영리한 선택을 했지만, 충분하진 못했다.",중립
Cine_Dragon,4.5,스포일러가 포함되어 내용을 생략했습니다.,긍정
민용준,3,"<인질>이라는 제목처럼 황정민이 인질이 된다는 설정의 스릴러물. 말 그대로 황정민이 황정민하는 영화인데 의도된 긴장도 웃음도 모두 바로 그 리얼리티 설정 안에서 자연스럽게 추출되는 인상.

90여분 남짓한 러닝타임 동안 인질이 된 황정민이 맞닥뜨린 '이거 실화임?' 같은 상황에 이입하는 것 자체가 목표인 영화인데 군더더기 없이 직선 주행하는 서사 자체를 즐기는 데 큰 무리가 없다. 그야말로 장르적인 오락성을 적절히 갖춘 소품 같은 결과물.

한편으로는 유명배우가 처할 법한 곤란하고 무례한 상황 자체가 공포스럽게 다가오는 측면도 있는데 황정민이라는 배우의 지난 경력이 리얼리티의 담보로서 극적인 설정을 잘 설득하는 인상. 간단하지만 영민한 기획의 성공이랄까. 적당하다.",긍정
콩까기의 종이씹기,3,"소재가 주는 매력은 초반에 사라지나, 그 대신 현란한 스릴러로 팽팽하게 밀고 간다.

+) 기대 별로 안했는데 시간 가는 줄도 모르고 봄. 국내 스릴러 영화들 중에서 이 정도로 현란하고 팽팽한 작품은 정말 오랜만에 본다.",긍정
고정규,3,반조리 영화 : <황정민과 5마리의 말종>,긍정
정녕,2,황정민을 좋아하는 사람에게는 차마 권장하고 싶지 않은 영화. 배우들 모두가 연기를 너무 잘해서인지 염동훈 역을 맡은 류경수 배우님이 살짝 미워졌다..,부정
dinozzo,3,편의점 알바생도 그의 인생에서는 ‘황정민’이라는…아니 납치범 성별 비율은 예능과 드라마처럼 4:1이란 희한한 설정…,긍정
138층,3,좋은 배우들의 넘쳐 흐르는 연기는 성공적이긴 하지만,긍정
bin,3,"몰입도 괜찮은 오락 영화다. 그게 끝!
굉장히 폭력적이고 부모님이랑 같이 볼 영화는 아니다
처음 보는 얼굴의 배우들 연기 보는 재미가 있다
이호정이 여기 나온 배우 중에 제일 잘생겼다
황정민 피땀눈물 묻을수록 예뻐 보인다 왜 이쁘게 생겼지?
(스포일 수도 있음)
.
.
퍼니게임 같은 느낌, 아니면 애초에 가벼운 톤의 블랙코미디인 줄 알았는데 뻔한 한국형 범죄스릴러 중 하나일 뿐이다
여자 캐릭터 셋 나오는데 쓰임새가 아쉽다 (벡델테스트... 통과 안 될 것 같은데. 그리고 이호정 캐릭터가 너무 아깝다. 진짜 뻔하게 소모된다. 더 재미있을 수도 있었고 비주얼도 신선하고 좋았는데)
범인들의 관계성을 촘촘하게 보여주면서 약육강식이 무너지는 모습에 좀 더 집중했으면 어땠을까 싶다",긍정
watchandnote,3,잘 만든 킬링타임용 납치 스릴러,긍정
김호진 펠릭스,,"기왕 이렇게 할 거
<황정민 납치사건의 전말>이나
<황정민, 납치될 순 없다> 이런 식으로
제목 지었어도 좋았을거 같다",알 수 없음
명기,3,"보기전엔 가벼운 느낌이겠지..했는데 생각보다 폭력적이고 하드해서 조금 놀람😲
납치범 역을 맡은 배우들이 연기를 잘해서 살벌한 느낌 제대로.
90분 남짓되는 시간동안 적절하게 긴장감을 잘 유지한다.",긍정
이팔청춘,4,"황정민이라 가능했던 영화.
황정민이라 가능했던 연기.
마지막 그 눈빛마저 황정민이라 가능했겠지ㄷㄷㄷ
[20210809 시사회]",긍정
johnpaulmacqueen,1,"“이거 진짜야 병신아” ……진짜??!!??
“웃겨?” ….. 웃으라고 한거야??!!
모든 대사가 감독의 자아분열같다.
찍으면서 아 이건 아니다 싶었을 것 같다.",부정
보정,3,"황정민이 황정민을 연기하는 것이지
다큐로 받아들일 이는 없을테니,
드루와 드루와 대사 치는 것 같은
소소한 농담 따먹기 이외 별 의미가
있나 싶은... 결국 스릴러 영화로 판단
해야할텐데 그 부분에서 진부하기만 할 뿐.",긍정
카섬,3,"똑똑한 애
지능 딸리는 애
욱하는 애
미친 여자애
여기저기서 본 조합들이긴한데
또 봐도 재미는 있네.",긍정
_9dong,3,"의도와 기획을 실현 했다는 것 만으로도
충분히 성공한 영화라 생각한다.",긍정
이현준,0.5,이게 왜 15세야 쒸빨럼들아,부정
천유림,1.5,킹받네,부정
영화잡식주의,2,"원작 <세이빙 미스터 우>가 원작 바탕이라 담백했다면
이 영화는 조미료가 많이 들어간 느낌
-
긴장감을 잘 유지하던 영화는 이해할 수 없는 경찰과 인질범의 행동들로 한 순간 맥이 풀려버린다. 그 아쉬움을 제한다면 그래도 괜찮은 영화
-
덧. 류경수 배우가 점점 조아진다",부정
Moretz,4,그립던 20년전 화양연화,긍정
Torii,0.5,이 돈으로 와플이나 사먹을걸..,부정
김민재,4,솔직히 말해서 너무 재미있게 봤다. 94분동안 한사건에 끝까지 집중하는게 좋았다.,긍정
티후김이박모미지도원시야웅현빈,2.5,"황정민이란 네임드만으로 혁신을 꿈꾸다니 죄송할 따름이다.

👍: 가장 눈여겨볼만한 기획력과 나쁘지않은 연출, 촬영.
👎: 내겐 너무 익숙한 그들. 류경수, 김재범, 이유미.",중립
Eagleeye17,2.5,굳이 배우 그 자체를 끌어올 필요가 없었던 픽션.,중립
별빠,2.5,"「다크 나이트」의 메세지 초이스, 「인정사정 볼 것 없다」의 장대비 액션, 「장 클로드 반담」의 자학개그, 이것저것 영화적 야심 가득한 ‘씨네-필감성’, 부담스런 천만 타이틀 자체가 「랜섬」, 코로나 시국의 극장 위기 상황에, 배우 ‘황정민’이 살아남기 위해 시도한 셀프 디스.",중립
